ticker,strategy,Final [EUR],Total Return [%],CAGR [%],Vol (ann.) [%],Sharpe,Sortino,Max Drawdown [%],Calmar,Worst Year [%],Best Year [%],Years,dividends,interest,short_premium_received,short_buyback_paid,short_settle_paid,commissions,spread_cost,stock_fees,ftt,n_assignments,n_short_cycles,n_leaps_rolls,n_trades,min_cash,prem,skew,spread,p_short_target_delta,sweep,p_leaps_open_min_dte,p_defend_delta,div_yield
FP.PA,PMCC,117905.0,19.4,1.15,17.5,-0.1,-0.14,-35.2,0.03,-18.7,23.9,15.4,0.0,52265.0,149476.0,8153.0,207966.0,12178.0,42938.0,0.0,0.0,49,198,12,237,34623.0,1.0,0.1,0.03,0.2,grid,,,
FP.PA,CoveredCall,171852.0,72.3,3.59,22.0,0.07,0.08,-44.3,0.08,-27.0,27.7,15.4,115009.0,1360.0,178744.0,338.0,252332.0,11998.0,20568.0,14402.0,7328.0,48,186,0,318,8.0,1.0,0.1,0.03,0.2,grid,,,
FP.PA,PMCC,169301.0,71.4,3.55,16.4,0.02,0.03,-30.3,0.12,-15.2,24.4,15.4,0.0,64754.0,243696.0,14626.0,264811.0,14628.0,51977.0,0.0,0.0,53,198,12,237,40222.0,1.0,0.1,0.03,0.25,grid,,,
FP.PA,CoveredCall,227274.0,127.9,5.48,21.1,0.14,0.18,-42.6,0.13,-24.1,30.8,15.4,135152.0,1461.0,283204.0,453.0,319773.0,13951.0,23923.0,18723.0,10256.0,53,186,0,358,6.0,1.0,0.1,0.03,0.25,grid,,,
FP.PA,PMCC,163523.0,65.6,3.32,14.9,-0.01,-0.01,-30.9,0.11,-11.5,21.1,15.4,0.0,63634.0,366958.0,18710.0,392874.0,14464.0,51750.0,0.0,0.0,72,198,12,237,39866.0,1.0,0.1,0.03,0.35,grid,,,
FP.PA,CoveredCall,217175.0,117.8,5.17,19.6,0.12,0.14,-42.2,0.12,-19.7,34.7,15.4,130683.0,1500.0,415966.0,2349.0,458602.0,13543.0,23621.0,23943.0,11406.0,72,186,0,396,15.0,1.0,0.1,0.03,0.35,grid,,,
FP.PA,PMCC,411672.0,314.0,9.64,17.4,0.34,0.5,-24.4,0.39,-8.7,37.1,15.4,0.0,111988.0,368661.0,22621.0,214357.0,23891.0,54231.0,0.0,0.0,34,198,12,237,62552.0,1.2,0.0,0.01,0.2,grid,,,
FP.PA,CoveredCall,560762.0,462.3,11.84,23.0,0.39,0.52,-39.6,0.3,-19.6,40.0,15.4,237767.0,1462.0,448914.0,191.0,251728.0,23765.0,40740.0,20576.0,13386.0,33,186,0,390,5.0,1.2,0.0,0.01,0.2,grid,,,
FP.PA,PMCC,404741.0,307.1,9.52,16.3,0.35,0.49,-22.9,0.42,-6.0,30.4,15.4,0.0,108783.0,490436.0,26303.0,339929.0,23196.0,52676.0,0.0,0.0,47,198,12,237,59318.0,1.2,0.0,0.01,0.25,grid,,,
FP.PA,CoveredCall,519768.0,421.2,11.29,21.9,0.38,0.49,-39.3,0.29,-18.0,38.6,15.4,225163.0,1458.0,581592.0,745.0,404639.0,22591.0,38727.0,27581.0,19321.0,46,186,0,423,5.0,1.2,0.0,0.01,0.25,grid,,,
FP.PA,PMCC,538326.0,441.4,11.57,14.5,0.5,0.66,-21.7,0.53,-2.3,29.9,15.4,0.0,132800.0,876848.0,52233.0,607455.0,27641.0,62963.0,0.0,0.0,58,198,12,237,59318.0,1.2,0.0,0.01,0.35,grid,,,
FP.PA,CoveredCall,703931.0,605.8,13.5,20.3,0.49,0.6,-37.6,0.36,-13.2,48.5,15.4,274117.0,1734.0,1059791.0,3517.0,744127.0,27314.0,46824.0,42094.0,31391.0,58,186,0,473,11.0,1.2,0.0,0.01,0.35,grid,,,
FP.PA,PMCC,381719.0,285.2,9.13,17.5,0.32,0.46,-25.0,0.37,-9.3,35.9,15.4,0.0,106551.0,353372.0,21621.0,206557.0,22916.0,69059.0,0.0,0.0,34,198,12,237,62492.0,1.2,0.0,0.02,0.2,grid,,,
FP.PA,CoveredCall,560762.0,462.3,11.84,23.0,0.39,0.52,-39.6,0.3,-19.6,40.0,15.4,237767.0,1462.0,448914.0,191.0,251728.0,23765.0,40740.0,20576.0,13386.0,33,186,0,390,5.0,1.2,0.0,0.02,0.2,grid,,,
FP.PA,PMCC,374088.0,277.5,8.99,16.4,0.32,0.44,-23.3,0.39,-6.5,29.3,15.4,0.0,103310.0,469011.0,25214.0,326349.0,22204.0,66948.0,0.0,0.0,47,198,12,237,58979.0,1.2,0.0,0.02,0.25,grid,,,
FP.PA,CoveredCall,519768.0,421.2,11.29,21.9,0.38,0.49,-39.3,0.29,-18.0,38.6,15.4,225163.0,1458.0,581592.0,745.0,404639.0,22591.0,38727.0,27581.0,19321.0,46,186,0,423,5.0,1.2,0.0,0.02,0.25,grid,,,
FP.PA,PMCC,502699.0,407.3,11.1,14.6,0.47,0.61,-22.3,0.5,-2.8,29.3,15.4,0.0,126839.0,848396.0,50347.0,590335.0,26766.0,81288.0,0.0,0.0,58,198,12,237,58979.0,1.2,0.0,0.02,0.35,grid,,,
FP.PA,CoveredCall,707819.0,609.7,13.54,20.3,0.49,0.6,-37.6,0.36,-13.3,48.6,15.4,274160.0,1731.0,1059907.0,0.0,744435.0,27228.0,46879.0,42109.0,31414.0,58,186,0,474,6.0,1.2,0.0,0.02,0.35,grid,,,
FP.PA,PMCC,354273.0,258.8,8.63,17.6,0.29,0.42,-25.3,0.34,-9.8,34.7,15.4,0.0,101620.0,339247.0,20722.0,199597.0,22040.0,82777.0,0.0,0.0,34,198,12,237,61289.0,1.2,0.0,0.03,0.2,grid,,,
FP.PA,CoveredCall,560762.0,462.3,11.84,23.0,0.39,0.52,-39.6,0.3,-19.6,40.0,15.4,237767.0,1462.0,448914.0,191.0,251728.0,23765.0,40740.0,20576.0,13386.0,33,186,0,390,5.0,1.2,0.0,0.03,0.2,grid,,,
FP.PA,PMCC,347410.0,251.8,8.49,16.5,0.29,0.4,-23.9,0.35,-7.1,28.0,15.4,0.0,98450.0,451353.0,24319.0,315033.0,21378.0,80408.0,0.0,0.0,47,198,12,237,58639.0,1.2,0.0,0.03,0.25,grid,,,
FP.PA,CoveredCall,519767.0,421.2,11.29,21.9,0.38,0.49,-39.3,0.29,-18.1,38.7,15.4,225137.0,1458.0,581447.0,745.0,404639.0,22591.0,38872.0,27581.0,19321.0,46,186,0,425,6.0,1.2,0.0,0.03,0.25,grid,,,
FP.PA,PMCC,464734.0,370.6,10.56,14.8,0.43,0.57,-22.7,0.47,-3.3,28.9,15.4,0.0,120431.0,810607.0,48103.0,566240.0,25643.0,98182.0,0.0,0.0,58,198,12,237,58639.0,1.2,0.0,0.03,0.35,grid,,,
FP.PA,CoveredCall,699853.0,601.7,13.46,20.3,0.49,0.6,-37.6,0.36,-13.4,48.4,15.4,273532.0,1748.0,1055994.0,3387.0,743296.0,27260.0,48424.0,42019.0,31316.0,58,186,0,476,5.0,1.2,0.0,0.03,0.35,grid,,,
FP.PA,PMCC,290326.0,192.1,7.19,17.5,0.22,0.31,-27.0,0.27,-11.8,27.6,15.4,0.0,86282.0,289137.0,16371.0,225759.0,19460.0,44893.0,0.0,0.0,41,198,12,237,55109.0,1.2,0.1,0.01,0.2,grid,,,
FP.PA,CoveredCall,401013.0,302.1,9.44,22.6,0.3,0.39,-40.6,0.23,-21.8,36.2,15.4,191227.0,1441.0,355201.0,1034.0,272114.0,19420.0,33291.0,20123.0,11912.0,40,186,0,365,12.0,1.2,0.1,0.01,0.2,grid,,,
FP.PA,PMCC,289437.0,191.2,7.17,16.5,0.22,0.3,-26.7,0.27,-11.0,29.5,15.4,0.0,85784.0,387981.0,19066.0,324551.0,19425.0,44853.0,0.0,0.0,49,198,12,237,45684.0,1.2,0.1,0.01,0.25,grid,,,
FP.PA,CoveredCall,384659.0,285.7,9.14,21.4,0.3,0.37,-40.3,0.23,-21.4,35.7,15.4,187319.0,1483.0,462570.0,852.0,389345.0,18991.0,32556.0,23505.0,15003.0,48,186,0,403,21.0,1.2,0.1,0.01,0.25,grid,,,
