Date,PMCC,PMCC_budget,CoveredCall,BuyHold,LeapsOnly
2001-05-11,109935.62468019249,116965.76334469013,114410.11360268875,108865.02604071789,104221.59592617834
2001-05-14,109447.77941841983,115674.29936832392,113598.38135375729,106831.436307174,103010.04752397578
2001-05-15,109530.51409594058,115871.68467229669,113763.7607029436,107970.94396363676,104124.8586517359
2001-05-16,110190.84046890352,117290.88785626079,114556.11736906227,108141.78651138573,104284.69545630881
2001-05-17,110747.03662616103,118751.20091736763,115320.71742603963,109407.61448850555,105277.66316695817
2001-05-18,110750.83645118933,118822.23158284019,115226.72158815763,110136.36310701142,105825.28527647952
2001-05-21,111146.90681738773,119636.05891951652,115683.41042785534,110595.18610592878,106202.3161793209
2001-05-22,111281.91903096846,120037.83909835048,116051.91908771516,111043.32580619985,106421.85806563895
2001-05-23,110917.94616553595,119200.82206194285,115519.51294941841,110213.72428780884,105745.04529058689
2001-05-24,111357.68898646736,120195.03224865897,116124.67842392452,110878.15446943723,106271.54308884002
2001-05-25,110735.75559910547,118673.87499965513,115277.24670682669,109766.97366056147,105357.78760559644
2001-05-28,111139.61970506569,119388.66059394102,115775.05937678392,110194.07726692769,105693.16076208024
2001-05-29,110614.5577193767,118278.78994545135,115021.89437857475,109257.59970423099,104939.20312521492
2001-05-30,109554.65155850745,115966.95233145496,113670.29846683535,107753.41144769297,103640.68914849665
2001-05-31,109644.85722884253,116249.18975798522,113834.39574093286,107825.43125079502,103693.32806405207
2001-06-01,109887.31321555164,116504.56034496608,113972.18760400561,108037.20317823469,104003.98226777256
2001-06-04,109965.56332825533,116596.59330908561,114100.8265216518,108037.2092827858,103953.5959633049
2001-06-05,111426.64408215348,119873.48429958551,115973.56914592764,110161.33853429329,105754.68302129733
2001-06-06,111063.9099241171,119084.80588270162,115518.83407677004,109606.6601116975,105262.0259010578
2001-06-07,110785.03132645217,118245.36736775986,115052.86494250938,109053.5814817774,104862.79879081516
2001-06-08,110206.20372367544,117044.56163975043,114345.01676593212,108297.45071170242,104172.46764836641
2001-06-11,109772.90131308581,115967.64054924977,113783.38993855646,107559.36201268987,103526.04981526165
2001-06-12,108492.69842201032,113047.62345180141,111939.70444057613,105726.69336270966,102160.53832135772
2001-06-13,109191.02767245453,114678.21070283616,112876.41102586161,106640.78890844408,102874.41124457435
2001-06-14,109396.59050182294,114780.75202336382,112930.18691011291,106672.90241247279,103057.8598818884
2001-06-15,108462.10041643625,112426.50732251478,111339.80779828625,105313.96519290865,102218.88741939342
2001-06-18,107836.35988369533,110951.66330721694,110414.28478716675,103980.00294670578,101201.15158818808
2001-06-19,108660.21369238706,112654.19603104264,111542.45536228895,105341.18826295249,102290.0552936628
2001-06-20,108601.85798585968,112375.47652893598,111172.53495780242,105101.49797874955,102339.81274045403
2001-06-21,108240.3910020375,111561.85411652173,110686.53841788914,104402.56207494432,101750.4637149723
2001-06-22,109679.82669632301,114598.92209766035,112636.02736578611,106938.20815208557,103884.81416046694
2001-06-25,109926.63756717787,115293.19031169037,113071.08660320746,107217.4530448722,104029.07657253766
2001-06-26,109213.37884948093,113728.62811852714,111923.32289546574,105660.40746787148,102884.57822051158
2001-06-27,108896.29657212623,113082.87793780594,111514.44145161155,105028.10620402847,102311.66801371281
2001-06-28,109846.9749183296,114976.49466206355,112759.6051555518,106862.00455710139,103923.44829700846
2001-06-29,110298.04916077279,115873.67673261678,113372.74161601176,107608.64230150264,104543.92115758624
2001-07-02,110743.19284709664,116824.45625856616,113974.61497434456,108537.0038043852,105357.7145681385
2001-07-03,109835.35941750035,115042.40199507815,112940.77891389024,106880.4808471193,103828.19795270299
2001-07-04,109954.67808922243,115126.87166374047,112601.81901524728,106420.62001526423,103828.0400725665
2001-07-05,109932.90251606831,115159.81446146699,112608.5701292022,106243.72514134155,103626.72687940899
2001-07-06,109145.59251035075,113099.04667064472,110603.21255412784,103820.24209641902,102279.00783397099
2001-07-09,110103.128383254,115557.86346236101,112372.46071676235,105552.06741228746,103307.26188618668
2001-07-10,109394.55241831648,113983.17507048017,111294.47415952802,104356.17871993803,102456.04157006645
2001-07-11,108735.4045611747,112476.69073650104,110224.8107594801,103292.76905701963,101748.59995731227
2001-07-12,108939.74475487629,113185.4000438642,110813.2101143675,103876.83730979942,102008.62320658179
2001-07-13,108912.26797444584,113075.73366192862,110872.06040437838,103876.83580812794,101923.97600432632
2001-07-16,109490.9099810327,114373.41136097563,111875.72834405277,104683.19016125251,102380.07258277966
2001-07-17,109010.7819280018,113221.56186351481,111203.37221262528,104042.52236726755,101880.91755939688
2001-07-18,107359.79307413173,109531.89740671312,109007.10755315595,101753.51437809122,100061.079178404
2001-07-19,108525.4630199145,112086.21597975025,110582.5350518217,103384.97540358624,101350.58353743199
2001-07-20,108503.49933711995,111919.15607992145,110533.43992067217,103472.5256085447,101430.62687807276
2001-07-23,108323.42981920624,111636.9147679787,110448.10491487595,103132.79241112026,101033.20947677523
2001-07-24,107636.67143762122,110044.96460245241,109396.59242778692,101756.88757227767,99999.00611729518
2001-07-25,106178.7733521172,106973.42875887928,107335.13844450655,99438.45864505434,98181.84139256239
2001-07-26,107122.32471001396,109010.67393768861,108765.93138403172,100941.32690037791,99276.92718600821
2001-07-27,108343.44060779002,111564.83601086633,110460.51877893634,102923.5569547919,100877.87384977225
2001-07-30,109375.44717140819,114092.4361022782,112123.82792427382,104787.20846591418,102115.71401765724
2001-07-31,109977.74289016628,115353.60990666441,112887.53688703259,105741.98585477009,102906.17594380236
2001-08-01,109502.83295145567,114438.91929352534,112325.60453682931,105080.40753265475,102427.65137293996
2001-08-02,109152.73218887158,113829.2185988326,112119.06127301094,104800.30697329903,102002.16646693608
2001-08-03,108623.69045169551,112774.34526669832,111492.60864966188,103937.89487644166,101289.64870082944
2001-08-06,109638.19562518218,114594.90705304794,112757.24688495336,105016.51327705556,102166.48056694907
2001-08-07,109632.61466839143,114708.19802256307,112993.72067475381,105273.95636171808,102211.41890013393
2001-08-08,108926.29367738846,113199.35752400932,111991.46334712482,104097.98935988384,101332.4046113507
2001-08-09,107934.17393563336,111044.12442745757,110619.67784642315,102498.86105938826,100055.60675107727
2001-08-10,107981.16637669416,110887.26768128117,110503.72581612815,102289.95175736706,99975.17379612738
2001-08-13,108996.97810230413,113091.31729862711,111889.56581094571,103777.18925201487,101162.60301633306
2001-08-14,109263.6348381535,114093.12341725473,112560.70043246997,104501.58601430543,101575.83109471675
2001-08-15,109006.24462665645,113594.07104161967,112123.75461075718,104031.51136525744,101237.0164320499
2001-08-16,108880.7086962355,113094.10842382559,111663.21620225665,103497.4736157529,100969.29960220153
2001-08-17,107738.51113506468,110586.98510822532,109803.43134266604,101555.78190459977,99588.27987675031
2001-08-20,108223.8865874643,111575.76323982874,110542.8647054183,102329.85952788338,100181.85103346393
2001-08-21,108616.5225598642,112282.12321248793,111030.14023669911,102854.19066839303,100631.29060015971
2001-08-22,108668.50774727686,112467.11800230487,111220.76419125557,102987.16774615571,100615.21374037859
2001-08-23,109284.42204489301,113611.02727423256,111969.12212454299,103947.2108998535,101496.4964298349
2001-08-24,109955.90869264185,115148.60179144141,112951.38002885257,105241.41584877823,102400.59378005653
2001-08-27,110000.91891783623,115179.06524700245,113072.23318454018,104970.16081591352,102122.27789888535
2001-08-28,109387.55815026003,113761.10859291386,112208.30779200257,103659.31521233282,101105.4659108557
2001-08-29,109428.92085892119,113855.36844284771,112261.96365281707,103728.21321858015,101130.518331665
2001-08-30,108310.490774709,111268.85939498528,110116.2187776693,101145.03592936374,99514.9918502485
2001-08-31,108758.27474991491,111991.44617193821,110408.71464079726,101522.94056809488,100062.03871119607
2001-09-03,108006.65586591678,110292.04344270249,109312.3291485504,100121.81562569899,98981.98344591146
2001-09-04,108434.095497455,111347.80240613065,110142.8860647236,101140.00649774703,99656.80621842746
2001-09-05,108353.97246468079,110991.15086143144,109594.88136559683,100572.7263981203,99524.0823047539
2001-09-06,108057.33956524023,109974.5185049186,107870.73441075244,99032.26956499256,99238.40954986073
2001-09-07,107619.99857535587,108892.49321669296,106897.37275911258,97860.75086305363,98529.7065812516
2001-09-10,107009.4585163493,107648.45952168567,106085.48555912205,96828.5268262175,97643.15044553536
2001-09-11,104187.17276725074,101750.71207877251,99001.84042779241,90027.44646871267,94596.47557935788
2001-09-12,104583.90446317685,102471.96269464011,98505.5210235007,89654.94017834605,95092.02292475574
2001-09-13,105202.24286899542,103529.80655813876,98998.30242448812,90117.37071686363,95725.01170781149
2001-09-14,103180.180552729,99338.65023516386,94953.09319936685,86217.91340418429,93594.04298602282
2001-09-17,104128.6146081768,101245.27248247708,96102.45472560615,87297.13015504212,94532.81884547183
2001-09-18,103941.71297548122,100486.88810387769,95016.72946120711,86278.04123753226,94266.56405826072
2001-09-19,102681.07841910634,97842.76814045885,93321.55626447049,84706.10321179115,93057.35194261523
2001-09-20,101064.89009905279,94361.35753709433,88986.13351044447,80699.43210425002,91471.94607396572
2001-09-21,99319.43395182729,90774.21232831552,84901.05733085226,77095.61165688146,89910.49336305336
2001-09-24,101161.51792280003,94912.55921180127,88419.35964262638,82565.76383779269,93058.07796176315
2001-09-25,101624.39616518597,95836.50809939302,89696.95133597187,84664.15109840938,94209.40353480137
2001-09-26,102154.45462752049,97003.89486717079,91048.08097087422,86574.59670809963,95248.94981307216
2001-09-27,102475.81398774443,97638.6870699942,91789.28280518611,87420.20463544223,95765.06233201854
2001-09-28,102490.12553995052,97576.40536518265,92144.7909895942,87420.2098024024,95525.38222026544
2001-10-01,102913.11494820024,98156.68174263484,91340.37059059135,86094.41972582709,95726.75406778899
2001-10-02,102940.45921665573,98251.3001623993,91731.51501374619,86529.96376594457,96003.05507670749
2001-10-03,102571.3722684156,97524.23724426268,91497.98472464884,85786.10607318717,95196.04129491224
2001-10-04,103475.79414432899,99676.09296581986,93582.26791735999,89819.49576180184,97197.00200911668
2001-10-05,103660.5732734339,99923.61472927227,93880.93085940284,89797.8978712345,97176.4108640554
2001-10-08,103859.68910562067,100130.62646515103,94249.79151137825,89368.73665289665,97051.76516352223
2001-10-09,103800.59101857225,99878.11280923225,94154.25830780779,88718.1133399964,96596.79994552805
2001-10-10,104336.37728607177,100886.24250114284,95172.78266415626,91141.40859781466,98188.65754609536
2001-10-11,104599.05319914377,101425.54937371917,95923.66332428319,91895.30865309051,98191.5544215748
2001-10-12,104805.53929959562,101850.31588500089,96563.48237812286,93168.16079614626,98656.7242464689
2001-10-15,104683.97302252345,101383.22570774259,96403.6867813645,90426.57629731111,97051.68065752546
2001-10-16,104688.78392193033,101292.24283622776,96653.32469086451,90426.58197758811,96904.5224024626
2001-10-17,105111.4119845151,102240.12723718041,97570.96895341249,92945.88785407851,98090.96043027878
2001-10-18,105179.33487408953,102229.3826168646,97842.28655044195,92533.7468432904,97531.56423768563
2001-10-19,104814.21291761717,101292.21801093969,96900.56685782249,90615.1313291244,96560.2683783264
2001-10-22,103346.20668504985,98625.34436314116,97955.92699277312,91573.9679904655,95549.82267765008
2001-10-23,105184.7535231135,101736.3701253531,100013.83756007258,94408.28724527123,98165.19791377155
2001-10-24,105844.0433627672,102675.69888629766,100739.63365409683,95373.529188092,99108.90019189692
2001-10-25,105080.72133116289,101361.33185569088,99703.75929264378,93669.5936060732,97649.97705494598
2001-10-26,105226.84262975895,101601.52876670571,99876.72375875362,93669.59249295075,97624.12111376737
2001-10-29,105419.13303009172,102006.67624830095,99809.09720878981,93335.2916403829,97488.66800211341
2001-10-30,103655.98720893334,98802.44396726282,97305.2802361797,90248.35838281701,95143.98520125763
2001-10-31,105073.57748209138,101347.56100225495,98819.19770252128,91987.61618466956,96785.16358109246
2001-11-01,105765.78285313307,102555.92166704753,99572.80525048514,92716.18223501692,97451.95679457016
2001-11-02,105769.66014365359,102464.04184946019,99552.83192125094,92541.05353332742,97345.4687746343
2001-11-05,107547.98862165223,105489.53822556775,101573.6808649331,94619.23581068868,99163.06969507139
2001-11-06,107250.4074166593,104937.54009743605,101435.39430983696,94142.25782822893,98629.1930299436
2001-11-07,107876.20032331116,106048.61412892619,102318.43859930441,94987.90456223415,99250.50447320522
2001-11-08,108923.13297023297,107887.28003365314,103499.03522272581,96465.62003774667,100558.05632330073
2001-11-09,108575.8787491721,107149.37431691373,103064.75004670475,95768.48429774161,99968.31311947013
2001-11-12,107519.85708859988,105157.582222756,101797.88316282512,93624.3212789037,98131.46254686988
2001-11-13,110264.23685993356,110043.67796230108,104847.62230665323,96999.53648556792,101097.08724920938
2001-11-14,110361.73619431417,109996.16214678793,104861.10938895366,96745.03794552988,100952.85709783858
2001-11-15,109786.16727054083,108689.08517435305,104203.86297964813,96664.64739524403,101022.32379115548
2001-11-16,109173.49132303915,107662.04675774489,103915.3577484218,96643.75274350717,100851.31247433097
2001-11-19,110347.11530039203,109636.68545655625,105439.44554379783,98486.34853280577,102417.8977480877
2001-11-20,109520.28188387994,108405.72306103546,104578.58251777139,97169.28069208354,101115.45909421482
2001-11-21,109876.00630032754,109116.02181281334,105109.0660372244,97625.001773526,101384.49878155251
2001-11-22,110052.75483494299,109476.01008557584,105427.3687690959,97900.87084635606,101545.3725061344
2001-11-23,110061.51778376618,109365.70273989576,105472.47071152338,97625.9005785447,101190.6704948948
2001-11-26,109791.02877824273,108705.94396618307,105045.60684791839,96719.36378337505,100396.44468053628
2001-11-27,108868.9051640756,107223.27558615066,103960.83740375945,95332.0058209239,99120.058706387
2001-11-28,108426.75328669148,106601.3508266835,103451.64977608439,94656.35404207528,98472.10743768595
2001-11-29,108073.24684368695,106063.54480352609,103203.83755502274,94275.80127971689,98003.97623965294
2001-11-30,109047.85972072974,107626.91976406402,104461.37581746146,95556.24295645698,99024.63553279857
2001-12-03,109026.84699231389,107744.76043062506,104469.54012631577,95329.5240171588,98758.34214071407
2001-12-04,110034.0289539566,109575.85482963834,105728.90421406036,96670.99657663952,99873.37479453349
2001-12-05,112467.37961535278,113444.97331621568,108440.01178698475,99601.4390505791,102573.14739292576
2001-12-06,112735.50649720537,113736.34278072642,108736.81272780072,99767.51131894952,102683.09267877965
2001-12-07,112396.87344129375,113119.27241246986,108659.19949751865,99417.1056125001,102078.72098534647
2001-12-10,111095.01746992183,110979.60403125346,107196.69446241739,97566.71005721792,100359.82484400438
2001-12-11,111409.47555843504,111589.43748291295,107642.7552200268,97954.375171149,100637.51839079706
2001-12-12,110519.83720997271,110011.50414171471,106744.64249153069,96959.8310066678,99637.85579937394
2001-12-13,109320.71698161529,107871.1669589232,105278.5379067747,95496.4101932007,98382.16617953607
2001-12-14,107760.35405290822,105155.91855133107,103387.13431603556,93687.51311549109,96865.70226054099
2001-12-17,109887.25293644144,109036.10168277631,105877.74040082467,96008.13125891922,98890.267687293
2001-12-18,109675.8071703282,108631.68109865018,105560.35277052403,95700.75151643736,98614.87168954646
2001-12-19,110104.39532488304,109461.14850075825,106299.40341457093,96374.20149241047,99000.42582113082
2001-12-20,109389.45293012664,108434.52805104826,105730.1465413579,95860.77286198475,98349.29644606196
2001-12-21,110412.30038190866,110525.22525369737,107013.14116914202,97244.93510090157,99499.42554547009
2001-12-24,110691.17283142389,110959.30078140444,107368.29619429451,97318.24283188421,99498.52932090596
2001-12-25,110745.06979156291,111038.18597390014,107519.7108762569,97318.25070572691,99402.41161304049
2001-12-26,110828.9021267031,111171.58763981174,107641.95729872667,97318.2488307708,99362.19723967185
2001-12-27,111873.92192901592,113079.9324067929,109085.14665787257,98879.68278613419,100598.96970096645
2001-12-28,112426.67107630643,113955.95942749022,109687.43625933226,99480.73551347539,101138.32093261257
2001-12-31,112723.08399396265,114439.6619293629,110013.73797723703,99480.72961261241,101099.20511807974
2002-01-01,112752.21577625947,114476.22414794195,110210.7245306519,99480.73515200532,100935.44832547767
2002-01-02,112290.42982730319,113587.81567916156,109546.89795658486,98669.44282706438,100311.97291183165
2002-01-03,113502.54883767727,115559.26247809466,110947.88818311653,100398.11656557232,101901.55591928952
2002-01-04,113946.43755758338,116211.31595316352,111480.28602277485,101031.88850078308,102469.11878840877
2002-01-07,113605.70192661989,115621.0251509001,110894.50308029614,99951.89175929505,101572.24225045464
